sample_id;treatment;species;experiment_GS;gender;drop
S1_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S2_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S3_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;M;y
S4_dekker_et_al;0;fib;dekker_et_al_06_2022_github;M;y
S5_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S6_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S7_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S8_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S9_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S10_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S11_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;M;
S12_dekker_et_al;0;fib;dekker_et_al_06_2022_github;M;
S13_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S14_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S15_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;V;
S16_dekker_et_al;0;fib;dekker_et_al_06_2022_github;V;
S17_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;M;
S18_dekker_et_al;0;fib;dekker_et_al_06_2022_github;M;
S19_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;O;
S20_dekker_et_al;0;fib;dekker_et_al_06_2022_github;O;
S21_dekker_et_al;CHX;fib;dekker_et_al_06_2022_github;M;
S22_dekker_et_al;0;fib;dekker_et_al_06_2022_github;M;
