	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated
chr1_11873_14409_DDX11L1	5	0	1	20	1	18	21	5	11	3	14	47	3	7	15	6	13	5
chr1_14361_29370_WASH7P	4355	30294	9249	5883	9404	19175	9199	3731	4347	5325	5000	3412	3362	8994	11362	6485	14860	2097
chr1_17368_17436_MIR6859-1	119	244	29	112	73	65	125	18	83	23	56	109	58	11	24	19	18	40
chr1_30365_30503_MIR1302-2	36	0	1	13	1	23	0	0	9	0	19	18	12	0	1	0	0	0
chr1_34610_36081_FAM138A	67	13	41	0	153	0	6	4	2	0	7	0	0	0	0	12	0	0
chr1_69090_70008_OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_134772_140566_LOC729737	263	251	171	298	323	326	152	409	915	216	176	302	478	108	368	181	352	254
chr1_323891_328581_LOC100132287	812	927	190	1007	939	442	408	1250	914	1278	367	1966	1033	987	791	774	657	575
chr1_367658_368597_OR4F29	0	5	0	0	11	0	0	0	6	22	13	3	0	0	0	3	0	1
chr1_562759_564389_LOC101928626	0	0	8	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0
chr1_567994_568065_MIR12136	80	77	247	261	864	226	444	216	314	80	145	203	268	66	133	1857	646	205
chr1_621095_622034_OR4F16	6	0	0	31	0	0	0	0	0	25	0	0	0	3	1	5	0	0
chr1_661138_665731_LOC100133331	777	975	745	1295	554	661	949	383	1159	1241	976	652	502	1271	2431	1037	878	1719
chr1_700244_714068_LOC100288069	189	147	258	151	413	212	397	170	279	176	164	186	202	275	209	105	148	116
chr1_752750_755214_FAM87B	17	17	3	16	21	12	15	19	33	26	19	4	21	30	9	17	29	17
chr1_761585_762902_LINC00115	47	37	23	39	51	111	49	66	35	23	23	33	52	38	17	14	84	21
chr1_762970_794826_LINC01128	1189	1517	954	462	605	219	776	1078	651	606	712	1514	726	880	481	896	498	775
chr1_803450_812182_FAM41C	36	2	44	3	0	157	4	31	36	60	41	2	28	26	0	4	0	3
chr1_852197_855072_LINC02593	646	159	354	827	854	846	604	3167	872	118	1426	2417	290	920	1792	392	790	97
chr1_861110_879954_SAMD11	507	1982	2060	4576	1631	2501	4494	4843	23655	3810	8971	3305	22258	4424	76917	21739	3219	2455
chr1_879582_894636_NOC2L	10608	5642	7918	6726	5251	4941	5687	9288	29516	5846	5060	4121	1043	8331	6607	7363	2762	3921
chr1_895963_901099_KLHL17	856	965	427	2104	984	785	46	969	391	5106	1049	310	323	862	577	295	646	350
chr1_901861_911245_PLEKHN1	380	192	584	159	20	423	425	213	213	257	754	139	518	279	497	308	632	412
chr1_910577_917473_PERM1	27	41	161	121	130	82	56	63	7	47	26	62	142	140	99	77	95	104
