sampleID,geneID,pValue,padjust,zScore,l2fc,rawcounts,normcounts,meanCorrected,theta,aberrant,AberrantBySample,AberrantByGene,padj_rank,sample_name,TIN_mean,link_bam,chr,start,end,gene
S12_dekker_et_al,chr6_31633656_31637847_CSNK2B,2.2926983625133e-12,4.49971248326164e-07,-7.54,-0.55,1156,2650.9,3869.25,532.12,TRUE,2,1,1,S12_dekker_et_al,72.77,,chr6,31633656,31637847,CSNK2B
S14_dekker_et_al,chr16_15068591_15233267_PDXDC1,1.17092668590321e-05,0.574523181035362,4.28,0.37,19421,28250.2,21816.47,265.4,FALSE,2,0,4,S14_dekker_et_al,72.77,,chr16,15068591,15233267,PDXDC1
S4_dekker_et_al,chr1_700244_714068_LOC100288069,0.993430580911328,1,0.06,-0.02,168,180.08,182.31,20.33,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,700244,714068,LOC100288069
S16_dekker_et_al,chr1_761585_762902_LINC00115,1,1,0.01,-0.05,14,36.76,38.23,22.67,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,761585,762902,LINC00115
S2_dekker_et_al,chr1_1138887_1141972_TNFRSF18,0.892871194136246,1,-0.75,-0.91,0,0,2.95,4.96,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,1138887,1141972,TNFRSF18
S18_dekker_et_al,chr1_1246964_1260067_INTS11,0.641200238380378,1,-0.5,-0.03,2193,4709.89,4799.67,925.32,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,1246964,1260067,INTS11
S10_dekker_et_al,chr1_1353799_1356824_ANKRD65,0.960003173830371,1,0,-0.11,58,92.91,100.49,7.2,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,1353799,1356824,ANKRD65
S10_dekker_et_al,chr1_1407144_1433228_ATAD3B,0.900421560201765,1,-0.12,-0.02,1044,3280.86,3323.36,164.64,FALSE,2,0,9421,S10_dekker_et_al,72.77,,chr1,1407144,1433228,ATAD3B
S4_dekker_et_al,chr1_1447541_1470067_ATAD3A,0.59110451846905,1,-0.56,-0.05,1846,4999.82,5156.94,384.87,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,1447541,1470067,ATAD3A
S16_dekker_et_al,chr1_1550794_1565990_MIB2,0.407122396054398,1,-0.84,-0.09,1296,2508.67,2676.12,207.41,FALSE,2,0,9421,S16_dekker_et_al,72.77,,chr1,1550794,1565990,MIB2
S8_dekker_et_al,chr1_2398889_2436971_PLCH2,0.164149358139955,1,-1.84,-1.61,2,5.6,22.82,4.72,FALSE,2,0,9421,S8_dekker_et_al,72.77,,chr1,2398889,2436971,PLCH2
S14_dekker_et_al,chr1_3404514_3528072_MEGF6,0.599847845669547,1,-0.47,-0.28,6693,12376.07,15062,10.99,FALSE,2,0,9421,S14_dekker_et_al,72.77,,chr1,3404514,3528072,MEGF6
S4_dekker_et_al,chr1_3689324_3692546_SMIM1,0.0971841562604138,1,-2.37,-2.56,0,0,5.27,3.37,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,3689324,3692546,SMIM1
S2_dekker_et_al,chr1_9160363_9189161_GPR157,0.510982636562668,1,-0.66,-0.18,174,216.2,245.41,42.13,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,9160363,9189161,GPR157
S18_dekker_et_al,chr1_9732483_9747632_PIK3CD-AS2,0.821091213902159,1,-0.25,-0.18,19,27.73,31.97,15.33,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,9732483,9747632,PIK3CD-AS2
S2_dekker_et_al,chr1_9908333_9970327_CTNNBIP1,0.367869854852275,1,0.95,0.12,587,1064.77,979.51,135.98,FALSE,2,0,9421,S2_dekker_et_al,72.77,,chr1,9908333,9970327,CTNNBIP1
S4_dekker_et_al,chr1_10270627_10441661_KIF1B,0.680213602153953,1,-0.4,-0.05,5383,5829.99,6021.82,190.38,FALSE,2,0,9421,S4_dekker_et_al,72.77,,chr1,10270627,10441661,KIF1B
S6_dekker_et_al,chr1_10459120_10480568_PGD,0.235365005199232,1,1.16,0.39,4464,7841.31,6004.59,15.66,FALSE,2,0,9421,S6_dekker_et_al,72.77,,chr1,10459120,10480568,PGD
S18_dekker_et_al,chr1_11734536_11751678_MAD2L2,0.782060896241154,1,0.31,0.03,685,1526.6,1494.86,203.74,FALSE,2,0,9421,S18_dekker_et_al,72.77,,chr1,11734536,11751678,MAD2L2
